Designator,Mid X,Mid Y,Rotation,Layer
C1,114.8,-106.0,0.0,bottom
C2,125.9,-135.1,180.0,bottom
C3,120.3,-108.7,90.0,bottom
C4,115.7,-69.7,180.0,bottom
C5,109.1,-48.95,270.0,bottom
C6,109.8,-109.5,180.0,bottom
C7,124.4,-140.8,180.0,bottom
C8,110.4,-135.5,270.0,bottom
D1,126.6,-119.5,0.0,bottom
D2,119.0,-122.3,180.0,bottom
D3,96.25,-61.0,0.0,top
FM_AMOUNT1,93.5,-92.0,270.0,top
J1,107.0,-62.5,0.0,top
J2,75.0,-62.5,0.0,bottom
J3,78.0,-124.0,0.0,top
J4,78.0,-104.5,0.0,top
J5,96.0,-139.5,0.0,top
J6,85.0,-139.4,0.0,top
J7,117.6,-61.45,90.0,bottom
J8,127.3,-51.6,0.0,bottom
PULSE_WIDTH1,88.5,-129.5,90.0,top
Q1,128.7,-91.3,0.0,bottom
Q2,126.2,-95.6,180.0,bottom
R1,123.25,-89.3,0.0,bottom
R10,115.6,-101.9,180.0,bottom
R11,123.25,-95.6,0.0,bottom
R12,123.25,-98.75,0.0,bottom
R13,124.2,-144.1,180.0,bottom
R14,124.2,-147.3,180.0,bottom
R15,124.2,-150.5,180.0,bottom
R16,107.0,-140.8,90.0,bottom
R17,107.0,-150.8,90.0,bottom
R18,99.0,-68.5,180.0,top
R2,123.25,-86.15,0.0,bottom
R3,123.25,-79.85,0.0,bottom
R4,123.25,-76.7,0.0,bottom
R5,115.65,-83.0,180.0,bottom
R6,123.25,-92.45,0.0,bottom
R7,110.4,-143.1,270.0,bottom
R8,126.6,-125.35,0.0,bottom
R9,126.55,-128.45,0.0,bottom
SCALE1,77.0,-148.25,270.0,top
TH1,128.75,-86.7,0.0,bottom
TH2,128.75,-83.4,0.0,bottom
TH3,126.2,-80.1,180.0,bottom
TH4,128.7,-76.8,0.0,bottom
TUNING_COARSE1,80.9,-63.5,90.0,top
TUNING_FINE1,88.5,-85.0,90.0,top
U1,121.4,-135.1,0.0,bottom
U2,114.6,-113.1,0.0,bottom
mouse-bite-2mm-slot_7,125.6272,-154.4962,180.0,top
mouse-bite-2mm-slot_6,85.0272,-154.4962,180.0,top
mouse-bite-2mm-slot_5,71.0,-162.99,90.0,top
mouse-bite-2mm-slot_4,71.0,-64.0,90.0,top
mouse-bite-2mm-slot_3,103.0,-54.0,90.0,top
mouse-bite-2mm-slot_2,103.0,-133.0,90.0,top
mouse-bite-2mm-slot,71.0,-143.0,90.0,top
